loeuf_bottom10	loeuf_top50	exp_bottom50	exp_top10	esssential_bottom50	esssential_top10	DEprior_bottom50	DEprior_top10	YinSEG	nuclear	cytoskeleton
ENSG00000237491	NA	NA	1	0	NA	NA	NA	NA	0	0	0
ENSG00000228794	NA	NA	1	0	NA	NA	0	0	0	0	0
ENSG00000188976	0	1	0	0	0	1	NA	NA	1	1	0
ENSG00000187961	0	1	1	0	1	0	1	0	0	0	1
ENSG00000188290	0	1	1	0	1	0	0	0	0	1	0
ENSG00000187608	0	1	1	0	0	0	0	1	0	0	0
ENSG00000078808	0	0	0	0	0	0	1	0	0	0	0
ENSG00000176022	0	1	1	0	1	0	1	0	0	0	0
ENSG00000160087	0	0	0	0	0	0	1	0	0	0	0
ENSG00000131584	0	0	1	0	0	0	1	0	0	0	0
ENSG00000169972	0	1	1	0	1	0	1	0	0	0	0
ENSG00000127054	0	1	0	0	0	1	NA	NA	0	1	0
ENSG00000107404	0	0	1	0	0	0	1	0	0	0	0
ENSG00000162576	0	1	1	0	1	0	0	0	0	0	0
ENSG00000175756	0	1	0	1	0	0	1	0	0	1	0
ENSG00000221978	0	0	0	0	0	0	1	0	1	1	0
ENSG00000224870	0	1	1	0	NA	NA	NA	NA	0	0	0
ENSG00000242485	0	1	0	1	0	0	1	0	1	0	0
ENSG00000160072	0	1	0	0	1	0	1	0	0	0	0
ENSG00000197785	0	0	0	0	1	0	1	0	0	0	0
ENSG00000160075	0	0	0	1	0	1	1	0	0	1	0
ENSG00000228594	0	1	1	0	0	0	1	0	0	0	0
ENSG00000197530	0	0	1	0	0	0	0	0	0	0	0
ENSG00000248333	0	0	1	0	NA	NA	NA	NA	0	1	0
ENSG00000189339	0	1	1	0	1	0	NA	NA	0	0	0
ENSG00000008128	0	1	1	0	NA	NA	NA	NA	0	1	0
ENSG00000008130	0	1	0	0	1	0	1	0	0	0	0
ENSG00000078369	1	0	0	0	0	0	1	0	0	0	0
ENSG00000162585	0	0	0	0	0	0	0	0	0	1	0
ENSG00000157933	1	0	1	0	0	0	0	0	0	1	1
ENSG00000157916	0	0	0	0	0	0	1	0	0	0	0
ENSG00000116213	0	0	1	0	0	1	1	0	0	0	1
ENSG00000235169	0	1	1	0	0	0	0	0	0	0	0
ENSG00000130764	0	0	0	0	1	0	1	0	0	1	0
ENSG00000116198	0	0	1	0	0	0	1	0	0	0	1
ENSG00000169598	0	1	1	0	0	0	1	0	0	1	0
ENSG00000198912	0	1	1	0	1	0	1	0	0	1	0
ENSG00000116251	0	1	0	1	0	1	1	0	0	1	0
ENSG00000116237	0	0	0	0	1	0	1	0	0	0	0
ENSG00000097021	0	0	0	0	1	0	0	0	0	0	0
ENSG00000162408	0	0	0	0	0	1	0	0	0	1	0
ENSG00000204859	0	0	1	0	1	0	1	0	0	1	0
ENSG00000162413	0	1	1	0	1	0	0	0	0	0	1
ENSG00000116273	1	0	1	0	1	0	0	0	0	1	0
ENSG00000041988	0	1	1	0	0	0	1	0	0	1	0
ENSG00000007923	1	0	0	0	0	1	1	0	0	0	0
ENSG00000171735	1	0	0	0	1	0	0	0	0	0	0
ENSG00000049245	0	1	1	0	1	0	0	0	1	0	0
ENSG00000049246	0	0	1	0	0	0	0	0	0	1	0
ENSG00000116288	0	0	0	1	0	0	1	0	0	1	0
ENSG00000142599	1	0	0	0	1	0	0	0	0	1	0
ENSG00000074800	0	0	0	1	0	1	1	0	0	1	0
ENSG00000171612	0	0	0	0	1	0	0	0	0	0	0
ENSG00000188807	0	0	1	0	0	0	1	0	0	1	0
ENSG00000171608	1	0	1	0	1	0	0	0	0	0	0
ENSG00000231789	NA	NA	1	0	NA	NA	1	0	0	0	0
ENSG00000171603	0	0	1	0	0	0	1	0	0	0	0
ENSG00000178585	0	1	1	0	0	0	1	0	0	1	0
ENSG00000162441	0	1	0	0	0	0	1	0	0	0	0
ENSG00000173614	0	0	1	0	0	1	1	0	0	1	0
ENSG00000130939	1	0	0	0	1	0	1	0	1	1	0
ENSG00000054523	1	0	0	0	0	0	0	0	0	0	1
ENSG00000142657	0	0	0	0	0	1	0	0	0	0	0
ENSG00000175279	0	1	1	0	NA	NA	NA	NA	0	1	0
ENSG00000160049	0	1	0	0	1	0	1	0	0	1	0
ENSG00000142655	0	0	1	0	1	0	1	0	0	1	0
ENSG00000120948	0	0	0	0	0	1	0	0	1	1	0
ENSG00000116649	0	0	0	1	0	0	1	0	0	0	0
ENSG00000171824	0	0	0	0	0	0	1	0	1	1	0
ENSG00000198793	1	0	0	0	0	1	1	0	1	0	0
ENSG00000120942	0	1	1	0	1	0	1	0	1	1	0
ENSG00000116663	0	0	1	0	1	0	0	0	0	0	0
ENSG00000116670	0	0	0	0	0	1	1	0	0	1	1
ENSG00000177674	0	1	0	0	0	0	0	0	0	1	0
ENSG00000177000	0	1	1	0	1	0	1	0	0	0	0
ENSG00000011021	0	0	1	0	0	0	1	0	0	0	0
ENSG00000116685	0	0	0	0	0	0	1	0	0	0	0
ENSG00000083444	0	1	1	0	0	0	0	0	0	0	0
ENSG00000116688	0	0	1	0	0	1	0	0	0	0	0
ENSG00000116691	0	1	0	0	0	0	1	0	0	1	0
ENSG00000048707	0	0	1	0	0	0	1	0	0	0	0
ENSG00000162496	0	0	1	0	0	0	0	0	0	0	0
ENSG00000116731	1	0	0	0	1	0	0	0	0	1	0
ENSG00000142634	0	1	0	0	0	0	0	0	0	0	0
ENSG00000116138	0	0	1	0	1	0	1	0	0	0	0
ENSG00000197312	1	0	0	0	0	0	NA	NA	0	0	0
ENSG00000116786	0	0	1	0	0	0	1	0	0	0	0
ENSG00000233954	NA	NA	1	0	NA	NA	NA	NA	0	0	0
ENSG00000179743	NA	NA	1	0	NA	NA	NA	NA	0	0	0
ENSG00000065526	1	0	0	0	1	0	0	0	0	1	0
ENSG00000116809	0	0	1	0	0	1	1	0	0	1	0
ENSG00000037637	0	0	1	0	0	0	1	0	0	1	0
ENSG00000055070	0	0	0	0	0	0	0	0	1	1	0
ENSG00000157191	0	1	0	0	0	0	1	0	1	0	0
ENSG00000219481	0	1	1	0	NA	NA	NA	NA	0	0	0
ENSG00000159363	0	0	1	0	1	0	1	0	0	0	0
ENSG00000117118	0	0	0	0	0	1	1	0	0	0	0
ENSG00000179051	0	0	0	0	0	0	1	0	0	0	1
ENSG00000127481	1	0	0	0	0	1	1	0	0	1	1
ENSG00000127463	0	1	1	0	0	0	0	0	0	0	0
ENSG00000053372	1	0	0	1	0	1	1	0	1	1	0
ENSG00000053371	0	1	0	0	0	0	0	0	0	0	0
ENSG00000077549	0	0	0	0	0	1	0	0	0	0	1
ENSG00000173436	0	0	0	1	0	1	NA	NA	0	0	0
ENSG00000169914	0	1	1	0	1	0	1	0	0	0	0
ENSG00000162545	0	1	1	0	0	0	0	1	0	0	0
ENSG00000090432	0	1	1	0	0	0	1	0	0	0	0
ENSG00000244038	0	0	0	0	0	1	1	0	0	0	0
ENSG00000127483	0	0	0	0	1	0	1	0	1	1	0
ENSG00000075151	1	0	0	0	0	0	0	0	0	0	0
ENSG00000090686	1	0	0	0	0	0	0	0	0	1	0
ENSG00000142798	0	0	1	0	0	0	0	0	0	0	0
ENSG00000218510	NA	NA	1	0	NA	NA	1	0	0	0	0
ENSG00000070831	0	0	0	1	0	1	0	0	1	0	1
ENSG00000184677	0	0	1	0	0	0	1	0	1	1	0
ENSG00000004487	0	0	0	0	0	0	1	0	0	1	0
ENSG00000169641	0	0	1	0	0	0	0	0	0	1	0
ENSG00000261326	NA	NA	1	0	NA	NA	0	0	0	0	0
ENSG00000125944	1	0	0	1	0	0	0	0	0	1	0
ENSG00000007968	0	0	1	0	0	0	0	0	0	1	0
ENSG00000142676	0	0	0	1	0	1	1	0	0	1	0
ENSG00000236810	NA	NA	1	0	NA	NA	1	0	0	0	0
ENSG00000011007	1	0	0	0	0	1	1	0	0	1	0
ENSG00000057757	0	1	0	0	1	0	1	0	0	0	0
ENSG00000011009	0	0	0	0	0	0	NA	NA	0	0	0
ENSG00000117308	0	1	1	0	0	0	0	0	0	0	0
ENSG00000117305	0	1	1	0	0	0	1	0	0	0	0
ENSG00000179163	0	1	1	0	0	0	0	0	0	0	0
ENSG00000189266	0	1	0	0	0	1	0	0	1	1	0
ENSG00000188529	0	1	0	1	0	1	0	0	0	1	0
ENSG00000001461	0	0	1	0	1	0	0	0	0	0	0
ENSG00000133226	1	0	0	1	0	1	1	0	1	1	0
ENSG00000169504	0	1	1	0	1	0	0	0	0	1	1
ENSG00000117614	0	0	0	0	0	1	1	0	1	1	0
ENSG00000117616	0	1	0	0	1	0	0	0	0	1	0
ENSG00000183726	0	0	0	0	1	0	1	0	1	0	0
ENSG00000204178	1	0	0	0	1	0	NA	NA	0	0	0
ENSG00000157978	0	1	1	0	0	0	0	0	0	0	0
ENSG00000117640	0	0	1	0	0	0	1	0	0	0	0
ENSG00000127423	0	1	1	0	1	0	0	0	1	0	1
ENSG00000117632	0	1	0	1	1	0	0	0	0	0	1
ENSG00000175087	0	0	1	0	0	0	0	0	0	1	0
ENSG00000142684	0	1	0	1	0	1	1	0	0	1	0
ENSG00000130695	0	0	1	0	0	0	0	0	0	1	1
ENSG00000142669	0	1	0	0	0	0	0	0	0	1	0
ENSG00000158062	0	1	1	0	1	0	1	0	0	0	1
ENSG00000117682	0	0	1	0	0	1	1	0	0	0	0
ENSG00000198830	0	0	0	1	0	1	NA	NA	0	1	0
ENSG00000117676	0	0	1	0	0	0	0	0	0	1	0
ENSG00000117713	1	0	0	0	1	0	1	0	1	1	0
ENSG00000204160	0	0	1	0	0	0	1	0	0	0	0
ENSG00000142751	0	0	1	0	0	1	1	0	0	0	0
ENSG00000198746	0	1	1	0	1	0	1	0	0	1	0
ENSG00000090273	0	0	0	1	0	1	1	0	1	1	1
ENSG00000090020	0	0	1	0	0	0	1	0	0	0	0
ENSG00000142784	1	0	1	0	0	1	1	0	0	1	0
ENSG00000186501	0	1	1	0	0	0	1	0	0	0	0
ENSG00000158195	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126705	1	0	1	0	0	0	1	0	0	1	0
ENSG00000009780	0	1	1	0	0	0	1	0	0	1	0
ENSG00000117758	0	0	1	0	1	0	1	0	0	0	0
ENSG00000117751	1	0	0	0	0	1	1	0	0	1	0
ENSG00000130775	0	0	1	0	0	0	0	0	0	1	0
ENSG00000117748	0	0	0	0	0	1	1	0	1	1	0
ENSG00000158161	1	0	1	0	0	0	1	0	0	1	0
ENSG00000126698	0	0	0	1	0	1	1	0	1	1	0
ENSG00000130770	0	1	0	1	0	0	NA	NA	0	0	0
ENSG00000130766	0	0	1	0	0	0	0	0	0	0	0
ENSG00000204138	0	0	0	0	0	0	1	0	0	0	0
ENSG00000180198	0	0	0	0	0	1	1	0	0	1	0
ENSG00000242125	NA	NA	0	1	NA	NA	0	0	1	0	0
ENSG00000180098	0	0	1	0	0	0	1	0	1	1	0
ENSG00000197989	NA	NA	0	0	NA	NA	0	0	0	0	0
ENSG00000120656	0	0	0	0	0	1	1	0	0	1	0
ENSG00000162419	0	0	1	0	0	0	1	0	0	1	0
